Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
109,0,0,0,0,0,0,0,1,5,4.67,8.86,12.91,12.08,13.47
110,0,0,0,0,0,0,0,0,0,0,4,3.67,5.5,14.18
112,0,0,0,0,0,0,0,0,0,0,1,1.67,3.4,6.1
113,0,0,0,0,0,0,1,1,1,2,7.33,10.11,14.55,0
114,0,0,0,0,0,0,0,0,0,0,0,0,1,2.67
115,0,0,0,0,0,0,0,0,0,0,3.25,5.43,11,14.58
116,0,0,0,1.5,0,7,9,7.67,10.67,9.67,14.3,0,18.45,19.38
117,0,0,0,0,0,0,1,1.33,2.5,4,4.57,24.88,9.47,11.06
118,0,0,0,0,0,0,0,0,0,0,0,0,4,12.4
119,0,0,0,0,0,0,0,0,0,0,4,9,7,11.7
120,0,0,0,4,5.5,5.67,7.25,10.6,9.56,11.61,11.91,0,16,22.09
121,0,0,0,0,0,1,2,2,4.5,5,6.25,5.89,12.8,10.24
122,0,0,0,0,0,0,0,0,0,0,1.5,2.5,10,14.14
123,0,0,0,0,0,0,0,0,0,0,0,6,13.8,13
124,0,0,0,0,0,0,0,0,7,21,13.67,11.43,13.79,14.74
125,0,0,0,0,0,2,5,8,10.5,10.33,15,16.67,20.25,20.92
126,0,0,0,0,1.5,4.5,9,16,18,11.29,14.62,11.63,19.71,19.12
127,0,0,0,0,0,0,1,1,2,2,4.33,7.25,11.36,14.56
128,0,0,0,0,0,0,0,0,0,0,2.5,5.33,10.67,10
129,0,0,0,0,0,0,0,0,0,2,2,2.71,6.93,10.33
130,0,0,0,0,0,0,0,0,0,0,0,0,3,3.75
131,0,0,0,4,5,7.5,7,7.75,9.6,12.25,23.2,16.71,21.44,15.44
132,0,0,0,0,0,0,0,1,4,4,6.33,8.33,6.77,6.31
133,1,2,2,3,2,1.33,1.25,3,2.2,4.29,3.62,8.85,6.63,10.6
134,0,0,0,0,0,0,0,0,0,1,5,5.4,13.67,9.19
135,0,0,0,0,0,0,0,0,0,0,1.5,2,2.33,2
136,0,0,0,0,0,0,0,0,0,0,0,0,0,2
137,0,0,0,0,2,1.67,3.5,5.33,8.17,9.12,10.5,11.67,10.66,12.98
138,0,0,0,0,0,0,0,0,0,0,1,4.5,8,9.44
139,0,0,0,0,0,0,0,0,1,5,13,17,14.86,11.73
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,1,3.67,12.5,12.25
142,0,0,0,0,1,0,2,3,1.67,1.67,2,3,4.27,5.72
143,0,0,0,0,0,0,0,0,0,0,0,1,2,3.18
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,1,4,5,5,9.6,7.85
146,0,0,0,0,1,2,2,3,5.5,7.67,14,11.33,9.88,10.78
147,0,0,1,1.33,17.25,6.25,9.25,10.8,12.17,17.12,18.27,23.78,18.09,0
148,0,0,0,0,0,0,0,0,0,3,9.88,16.89,18.13,19.93
149,0,0,0,0,0,0,0,0,0,3,2.5,0,3.88,13.67
150,0,0,0,0,0,0,0,0,0,0,0,0,4,4
151,0,0,0,0,0,0,0,0,0,0,1.5,2.6,3.4,5.12
152,0,0,0,3,0,3.25,4.5,4.8,6.8,5.43,5.08,9.5,9.86,13.97
153,0,0,0,0,0,0,0,1,7,11,9.83,13.25,27.18,18.75
154,0,0,0,0,0,0,0,0,0,1,2.5,0,1.5,1.67
155,0,0,0,0,0,0,0,0,0,4,9,15.5,25,17.09
156,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,0,0,0,0,0,0,3.5,6.5,8,6.33,8,9.25,15.6,0
158,0,0,0,0,0,0,0,0,1,1.67,7.6,9.67,9.27,10.8
159,0,0,0,0,0,0,0,0,1.67,5.33,10.22,17,20.06,20.11
160,0,0,0,0,0,2,4,4,3.5,7.5,10.14,13.75,14.62,16.91
161,0,0,0,0,0,0,0,0,0,1,1.67,2.75,3.12,4.07
162,0,0,0,0,0,0,0,1,7,7.5,9,15.12,13.32,15.91
163,0,0,0,0,0,0,1,3,2.67,4.33,6.17,9,10.33,12.83
164,0,0,1,1,2,2,2.5,3.33,3.64,6.46,10.69,16.94,22.39,33.73
165,0,0,0,0,0,0,0,0,0,0,3.5,7,8.38,9.48
166,0,0,0,0,0,0,0,0,1,4.5,5.5,6.67,8.14,9.83
167,0,0,0,0,0,2,3,4.5,9.5,6.17,0,9.55,10.39,10
168,0,0,0,0,0,1,4,7,8.5,8.6,14.5,11.71,15.1,16.67
169,0,0,0,0,3,2,3.33,2.6,3.83,7,10.67,15.36,19.13,19.14
170,0,0,0,0,0,0,0,0,0,0,3,1.8,2.33,4
171,0,0,0,0,0,0,1,1,1.33,2,3,4.6,5.5,10.26
172,0,0,0,0,0,0,0,0,0,0,2.5,5.33,4.4,11.11
173,0,0,0,0,0,0,0,0,3.33,5,12,15.86,18.33,14.74
174,0,0,0,0,1,1,1,1,2.25,2.43,2.5,4.27,0,10.37
175,0,0,0,0,1,1,1,2,2.67,2.6,4.33,8.67,8.87,12.88
176,0,0,1,4.5,8,7.33,6.8,9.17,10.22,12.15,22,13.31,16.76,0
177,0,0,0,0,0,0,0,0,0,0,0,0,2.75,4
178,0,0,0,0,0,0,0,0,0,1,4.75,8.6,14.33,12.71
179,0,0,0,0,0,0,0,0,0,0,0,2.67,4.4,6.25
180,0,0,0,0,0,0,0,0,1,3,4.71,13.5,12.9,10.05
181,0,0,0,0,0,1,4,6.67,13.67,17.25,29.4,15.84,27.42,21.61
182,0,0,0,0,0,0,0,0,2.5,5,9.5,7.38,11.18,11.69
183,0,0,0,0,0,0,0,0,0,0,1.5,1.67,3,5.32
184,0,0,0,0,0,0,0,0,0,0,0,4,15,12.56
185,0,0,0,0,0,0,0,1,2,2,2.5,5.43,9.91,13.39
186,0,0,0,0,0,0,0,0,0,0,0,0,20.4,20.42
187,0,0,0,0,0,0,0,4,3.67,9.12,18.75,18.5,17.66,20.29
188,0,0,0,0,0,0,0,0,1,3,1.4,2,2.55,3.59
189,0,0,0,0,0,0,1,2,2,3.67,6.1,7.75,12.12,14.18
190,0,0,0,0,0,0,0,1,2,0,6,6.25,11.38,13.2
191,0,0,0,0,0,1,1,1,1,1.2,1.44,0,2.42,6.14
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,1.5,2.5,3.33,5.33,0,10.5,12.75
194,0,0,0,0,0,0,0,0,1,1,1.67,3.75,5.29,4.62
195,0,0,0,0,0,0,0,0,2,2.33,4.5,6.75,5.8,11
196,0,0,0,0,0,0,0,0,0,0,0,2.5,6.33,14
197,0,0,0,0,0,0,0,0,1.5,7.5,0,11.75,15,12.8
198,0,0,0,0,0,0,0,0,0,0,0,0,0,12
199,0,0,2,2,2,2.67,4.75,7.75,9,10.6,10.8,10.95,14.41,21.03
200,0,0,1,2,2,4,2.5,2,2.75,6.89,15,14.76,14.34,15.86
201,0,0,0,0,1,1,1,0,1,1.6,3,4,6.12,9.3
202,0,0,0,0,0,0,0,0,3,5,4.8,7.12,10.06,12.7
203,0,0,0,0,0,0,1,1,3,3,1.8,4.5,2.56,4.24
204,0,0,0,0,0,1,2.5,4.25,11.75,18,14.57,13.94,14.13,14.44
206,0,0,0,0,0,0,0,0,1,1.5,3.4,5.44,10.42,11.14
207,0,0,0,0,0,0,0,1.5,1.5,2.75,3.57,5.62,7.33,9.12
208,0,0,0,0,1,1.5,2,3.8,5,8.7,13,18.36,18.53,23.48
209,0,0,0,0,0,0,0,0,0,0,1,10,8.2,8.67
210,0,0,0,0,0,0,0,0,0,0,7.67,0,12.86,14.71
211,0,0,0,0,0,0,1,2,2.5,4,4.8,6.2,6.18,11.57
212,0,0,1,1,1.33,1.4,1.5,2.1,3,6.47,9.6,0,14.44,20.26
213,0,0,0,0,0,0,0,0,0,0,0,0,8,11
214,0,0,0,0,0,0,0,0,0,0,0,0,1.33,3.82
215,0,0,0,0,0,0,0,0,0,1,6.67,9.25,10.8,12.82
216,0,0,0,0,0,0,0,0,0,5,12,16,22.2,10.06
217,0,0,0,0,0,0,1,4,8,9.5,5.83,12.29,14.8,18.14
218,0,0,0,0,0,0,0,0,5,10,8.8,13.83,17,16.86
219,0,0,0,1,2,4,4.33,4.67,3.75,4.75,7.22,13.9,14.11,18.71
220,0,0,4.8,0,0,2,7.67,15.33,26,27.25,6.25,20.5,19.38,15.47
221,0,0,0,0,0,0,0,0,0,0,0,1,2.5,5.8
222,0,0,2,2,3,2.67,5.67,10.67,9.17,9.64,13.69,14.91,11.95,12.93
223,0,0,0,0,0,0,0,0,0,2,4.5,7.83,11.78,14
224,0,0,0,0,0,0,0,0,0,1,2,0,2.2,6.43
225,0,0,0,0,0,2,4,7,6,10.5,17.5,13.75,8.36,10.95
226,0,0,0,0,0,0,0,0,0,0,0,1,5,13.75
227,0,0,0,0,0,1,2.5,3,4,6.4,11.5,10.67,8.1,10.23
228,0,0,0,0,0,0,0,0,0,4.67,8.75,9,20.2,20.45
229,0,0,4.8,0,0,2,7.67,15.33,26,27.25,6.25,20.5,19.38,15.47
230,0,0,0,0,0,0,0,0,0,2,8.25,11,14.43,19.9
231,0,0,0,0,0,0,0,1,2,2,3.33,3.8,7.11,9.84
232,0,0,0,0,0,0,0,0,1.5,2.33,3.8,6.67,11.11,12.88
233,0,0,0,0,1.67,3.33,3.6,4,4.86,6,9.62,11.17,10.1,14.24
234,0,0,0,0,0,1,3.5,8.5,0,9.4,10.4,16.1,12.36,10.98
235,0,4,7,4.5,5.25,6.4,5.86,7.1,10,12.8,16.74,20.89,19.32,19.92
236,0,0,0,0,0,0,0,0,3,8,9.5,6.5,9,12.5
237,1,3,7,5,6,7.5,6.43,11.57,16.14,11.86,13.81,15.15,16.97,18.66
238,0,0,0,0,0,0,1,1,1.83,2.6,5.4,6.07,7.38,8.52
239,0,0,0,0,0,0,0,1.5,4,5,9.67,9.67,16.8,14.17
240,0,0,0,1.6,2.6,3.6,3.8,4.5,4.67,7.5,8.81,10.09,10.27,16.55
241,0,0,0,0,0,0,0,1,4,3.67,7.75,8.5,8.29,7.31
242,0,0,0,0,1,1,1,1.4,1.75,1.89,2.93,3.5,6.34,8.62
243,0,0,0,0,0,0,0,3,4.5,10.5,21.5,11.62,17.15,16.29
244,0,0,0,0,0,0,0,1,1.33,1.67,3.36,14.55,6.39,8.44
245,0,0,0,0,0,0,0,0,2,2.5,4.57,6.12,8.29,12.24
246,0,0,0,0,0,0,1,4,2.67,5,7.2,9.71,10.67,12.35
247,0,0,0,0,0,1,1,2,2,2,2.25,3.14,5.64,8.59
248,2,2,3,4,2.5,3,2,1.75,1.78,2.67,4.44,9.83,12.79,19.47
249,0,0,0,0,0,0,0,0,2,6,9.2,12.43,11.74,0
250,0,0,0,0,0,0,0,0,1,2,2,1,5.25,8.6
251,0,0,0,0,1.5,2,1.8,2.43,2.8,2.75,3.9,6.18,8.53,18.49
252,0,0,1,2,2,3,5,6,3.25,5.6,9.25,9.83,10.68,13.03
253,0,0,0,0,2,3,1.75,2.17,3.14,4.44,6,10.07,8.17,9.97
254,0,0,0,0,0,0,1,2,5,2.67,5.25,7.14,12.3,9.32
255,0,0,0,0,0,0,0,0,0,0,0,3,8.5,8.33
256,0,0,1,1.67,0,6.67,8.33,8.75,11.4,14.17,13.2,12.58,14.19,12.58
257,0,0,0,0,1,3,5.75,5.38,5.45,7.69,9.7,10.2,10.49,13.11
258,0,0,0,0,0,0,0,0,0,6,11,9.5,12,9.14
259,0,0,0,0,0,0,0,1,4,4,4,3,9.67,6
261,0,0,0,0,0,0,0,0,0,0,4,8,13.5,7.82
263,0,0,0,0,0,0,0,0,0,0,2,10.5,10.5,21.75
264,0,0,0,0,0,0,0,0,1,1.5,2.67,15.88,20.07,0
265,0,0,0,0,0,0,0,0,0,0,0,5,11.67,11.44
266,0,0,0,0,0,0,0,0,0,0,0,2,14.25,14.5
267,0,2,5,7,8,8,10,7,5.75,6.83,0,12.57,8.24,10.64
268,0,1,0,0,0,0,0,0,0,0,4.75,7.5,12.92,16.25
269,0,0,0,0,0,0,0,0,0,0,0,2,0,3.75
270,0,0,0,0,0,0,0,0,0,3.5,4.5,10.43,15.9,11.74
271,0,0,0,0,2,2.5,3.5,0,6,9.25,6.67,11.89,12.67,15.74
272,0,0,0,0,0,0,0,0,0,5,0,4.17,14.22,0
