Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,21,60
171,0,0,0,0,0,0,0,0,0,0,1,1,4,10,27,46,77,195
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,22,100
173,0,0,0,0,0,0,0,0,0,0,0,0,10,20,60,111,220,280
174,0,0,0,0,0,0,0,0,1,2,2,2,9,17,25,64,0,280
175,0,0,0,0,0,0,0,0,1,2,2,4,8,13,26,78,133,206
176,0,0,0,0,0,0,2,9,16,22,34,55,92,158,198,346,570,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28
178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,43,129,305
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,75
180,0,0,0,0,0,0,0,0,0,0,0,0,1,9,33,108,271,402
181,0,0,0,0,0,0,0,0,0,2,8,20,41,69,147,301,521,951
182,0,0,0,0,0,0,0,0,0,0,0,0,5,15,38,118,246,339
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,30,133
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,113
185,0,0,0,0,0,0,0,0,0,0,0,1,2,6,10,38,109,308
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,633
187,0,0,0,0,0,0,0,0,0,0,0,4,11,73,150,296,512,690
188,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,12,28,61
189,0,0,0,0,0,0,0,0,0,0,1,4,6,22,61,93,206,567
190,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,25,91,198
191,0,0,0,0,0,0,0,0,0,1,1,2,3,6,13,0,29,172
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,3,5,10,16,0,42,153
194,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,15,37,60
195,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,27,58,198
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,42
197,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,94,195,320
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
199,0,0,0,0,0,0,2,2,4,8,19,31,36,53,108,208,418,694
200,0,0,0,0,0,0,1,2,2,4,5,8,22,62,165,251,459,793
201,0,0,0,0,0,0,0,0,2,2,2,0,2,8,18,28,49,93
202,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,57,161,343
203,0,0,0,0,0,0,0,0,0,0,1,1,3,3,9,36,41,72
204,0,0,0,0,0,0,0,0,0,1,5,17,47,54,102,223,438,780
206,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,49,125,312
207,0,0,0,0,0,0,0,0,0,0,0,3,3,11,25,45,88,155
208,0,0,0,0,0,0,0,0,1,3,8,19,35,87,182,257,352,540
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,82,208
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,90,206
211,0,0,0,0,0,0,0,0,0,0,1,4,5,8,24,31,68,162
212,0,0,0,0,0,0,1,1,4,7,9,21,39,97,192,0,260,466
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42
215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,37,54,141
216,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,48,111,181
217,0,0,0,0,0,0,0,0,0,0,1,4,8,19,35,86,148,254
218,0,0,0,0,0,0,0,0,0,0,0,0,5,10,44,83,255,472
219,0,0,0,0,0,0,0,2,6,12,13,14,15,19,65,139,254,318
220,0,0,0,0,0,0,24,0,0,6,23,46,78,109,25,123,155,263
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,58
222,0,0,0,0,0,0,2,2,3,8,17,32,55,106,178,343,669,556
223,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,47,106,252
224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,11,45
225,0,0,0,0,0,0,0,0,0,2,4,7,12,21,35,55,92,219
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,55
227,0,0,0,0,0,0,0,0,0,1,5,6,12,32,69,128,316,614
228,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,72,202,409
229,0,0,0,0,0,0,24,0,0,6,23,46,78,109,25,123,155,263
230,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,55,101,199
231,0,0,0,0,0,0,0,0,0,0,0,1,4,6,10,19,64,187
232,0,0,0,0,0,0,0,0,0,0,0,0,3,7,19,40,100,219
233,0,0,0,0,0,0,0,0,5,10,18,24,34,42,77,134,293,470
234,0,0,0,0,0,0,0,0,0,1,7,17,0,47,104,161,272,483
235,0,0,0,0,0,4,7,9,21,32,41,71,110,192,385,397,715,1016
236,0,0,0,0,0,0,0,0,0,0,0,0,3,24,38,52,72,150
237,0,0,0,0,1,3,7,10,18,30,45,81,113,166,290,394,509,709
238,0,0,0,0,0,0,0,0,0,0,2,4,11,26,54,91,177,281
239,0,0,0,0,0,0,0,0,0,0,0,3,8,15,29,58,168,326
240,0,0,0,0,0,0,0,8,13,18,19,27,42,75,141,232,339,662
241,0,0,0,0,0,0,0,0,0,0,0,1,4,11,31,51,58,95
242,0,0,0,0,0,0,0,0,1,2,2,7,14,17,44,35,203,405
243,0,0,0,0,0,0,0,0,0,0,0,3,9,21,43,93,223,391
244,0,0,0,0,0,0,0,0,0,0,0,1,4,10,37,160,115,228
245,0,0,0,0,0,0,0,0,0,0,0,0,2,10,32,49,116,257
246,0,0,0,0,0,0,0,0,0,0,1,4,8,20,36,68,128,247
247,0,0,0,0,0,0,0,0,0,1,1,2,2,6,9,22,62,146
248,0,0,0,0,2,2,3,4,5,6,10,14,16,32,71,177,307,584
249,0,0,0,0,0,0,0,0,0,0,0,0,2,18,46,87,223,0
250,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,21,86
251,0,0,0,0,0,0,0,0,3,6,9,17,28,33,39,136,307,869
252,0,0,0,0,0,0,1,2,2,3,5,6,13,28,74,118,235,430
253,0,0,0,0,0,0,0,0,2,3,7,13,22,40,66,141,196,379
254,0,0,0,0,0,0,0,0,0,0,1,2,5,8,21,50,123,177
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,50
256,0,0,0,0,0,0,1,5,0,20,25,35,57,85,132,151,298,566
257,0,0,0,0,0,0,0,0,2,9,23,43,60,123,194,255,514,708
258,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,19,36,64
259,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,6,29,48
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,27,133
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,42,87
264,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,127,301,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,103
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,116
267,0,0,0,0,0,2,5,7,8,8,10,14,23,41,0,88,173,383
268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,45,155,260
