Sample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
2,0,0,0,0,0,1,0,2,3,6,14,15,20,21
3,0,0,0,0,0,0,0,1,2,4,7,12,20,40
4,0,0,0,0,0,0,0,0,0,1,4,5,12,19
5,0,1,1,1,2,5,5,0,5,8,12,19,33,53
6,0,0,0,0,0,0,0,0,0,4,5,7,11,17
7,1,1,2,3,4,5,5,4,0,10,7,0,28,24
8,0,0,0,0,2,3,4,4,6,3,13,16,35,48
9,0,0,0,3,0,4,4,5,5,7,12,10,22,30
10,0,0,0,0,0,0,0,0,0,0,1,4,8,14
11,0,0,0,1,1,1,1,1,3,5,6,12,21,36
12,0,0,0,0,0,1,1,1,1,2,4,7,18,32
13,4,4,0,5,6,5,7,12,14,19,26,34,59,38
14,0,0,0,0,1,2,2,2,3,2,3,16,20,41
15,0,0,0,0,3,3,5,6,7,7,12,17,26,29
16,0,0,0,0,0,0,0,0,0,0,1,1,3,7
17,0,0,0,0,0,0,0,3,5,8,14,16,25,20
18,0,0,0,0,0,1,1,1,3,4,8,10,15,17
19,0,0,0,0,0,2,4,6,7,13,19,22,38,57
20,0,0,0,0,0,0,0,0,0,0,1,1,4,12
21,0,0,0,0,0,0,0,0,0,0,3,6,6,15
22,0,1,1,1,2,2,3,4,3,9,12,16,29,47
23,0,0,0,0,0,0,2,2,2,2,2,2,5,9
24,0,0,0,0,0,0,0,3,4,8,11,15,19,19
25,0,0,0,0,1,1,1,1,2,4,6,8,14,14
26,0,0,0,0,0,0,0,0,1,3,5,6,9,15
27,0,0,0,0,0,0,0,1,1,0,4,7,8,11
28,0,0,0,0,1,1,2,3,4,5,7,6,23,23
29,0,0,1,1,1,2,2,3,4,6,13,15,32,41
30,0,0,0,0,0,1,1,1,2,2,2,3,9,14
31,0,0,1,0,2,2,2,2,3,0,5,9,20,26
32,0,0,0,0,0,0,0,0,0,2,3,5,9,16
33,0,0,0,2,2,2,2,4,8,9,13,17,24,21
